Date,PM2.5,Site Name,CBSA_NAME,STATE,COUNTY,Month
2020-08-28,33.0,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-29,25.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-30,19.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-08-31,19.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,8
2020-09-01,17.4,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-02,16.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-03,15.1,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-04,18.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-05,22.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-06,47.2,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-07,38.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-08,40.9,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-09,22.5,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-09-10,53.8,Livermore,"San Francisco-Oakland-Hayward, CA",California,Alameda,9
2020-01-01,13.1,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-02,7.6,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-03,15.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-04,9.5,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-05,6.1,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-06,4.7,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-07,7.5,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-08,5.2,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-09,4.7,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-10,4.6,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-11,8.2,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-12,5.3,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-13,4.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-14,5.1,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-15,4.1,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-16,5.9,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-17,5.2,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-18,5.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-19,5.4,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-20,13.2,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-21,4.2,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-22,5.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-23,7.3,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-24,9.7,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-25,9.7,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-26,5.9,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-27,7.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-28,6.8,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-29,8.5,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-30,7.9,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-01-31,10.5,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,1
2020-02-01,18.5,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
